ID,title,description,status,priority,date,raisedby_ID,assignedto_ID,resolved_at,closed_at
C001,VPN access is unavailable - 1,The employee cannot connect to the corporate VPN from the office network.,Open,High,2026-01-01,E014,E028,,
C002,Payroll deduction needs correction - 2,The monthly payslip shows an incorrect deduction and needs review.,In Progress,Medium,2026-01-02,E015,E029,,
C003,Laptop battery is failing - 3,The assigned laptop battery drains within one hour of normal use.,Resolved,Low,2026-01-03,E016,E030,2026-01-05T11:30:00Z,
C004,Customer portal shows an error - 4,Customers receive an error after submitting the service request form.,Closed,High,2026-01-04,E017,E031,2026-01-06T12:30:00Z,2026-01-08T12:30:00Z
C005,Office air conditioning issue - 5,The meeting room temperature is unusually high during working hours.,Open,Medium,2026-01-05,E018,E032,,
C006,Purchase order approval is delayed - 6,A pending purchase order has not moved to the next approval stage.,In Progress,Low,2026-01-06,E019,E033,,
C007,Email delivery is delayed - 7,Outbound messages to external recipients are arriving several hours late.,Resolved,High,2026-01-07,E020,E034,2026-01-09T15:30:00Z,
C008,Access badge is not working - 8,The building access card is rejected at the main entrance.,Closed,Medium,2026-01-08,E021,E035,2026-01-10T16:30:00Z,2026-01-12T16:30:00Z
C009,Invoice details do not match - 9,The supplier invoice total differs from the approved purchase order.,Open,Low,2026-01-09,E022,E036,,
C010,Shared drive permission required - 10,The project team needs read and write access to the shared folder.,In Progress,High,2026-01-10,E023,E037,,
C011,VPN access is unavailable - 11,The employee cannot connect to the corporate VPN from the office network.,Resolved,Medium,2026-01-11,E024,E038,2026-01-13T11:30:00Z,
C012,Payroll deduction needs correction - 12,The monthly payslip shows an incorrect deduction and needs review.,Closed,Low,2026-01-12,E025,E039,2026-01-14T12:30:00Z,2026-01-16T12:30:00Z
C013,Laptop battery is failing - 13,The assigned laptop battery drains within one hour of normal use.,Open,High,2026-01-13,E026,E040,,
C014,Customer portal shows an error - 14,Customers receive an error after submitting the service request form.,In Progress,Medium,2026-01-14,E027,E041,,
C015,Office air conditioning issue - 15,The meeting room temperature is unusually high during working hours.,Resolved,Low,2026-01-15,E028,E042,2026-01-17T15:30:00Z,
C016,Purchase order approval is delayed - 16,A pending purchase order has not moved to the next approval stage.,Closed,High,2026-01-16,E029,E043,2026-01-18T16:30:00Z,2026-01-20T16:30:00Z
C017,Email delivery is delayed - 17,Outbound messages to external recipients are arriving several hours late.,Open,Medium,2026-01-17,E030,E044,,
C018,Access badge is not working - 18,The building access card is rejected at the main entrance.,In Progress,Low,2026-01-18,E031,E045,,
C019,Invoice details do not match - 19,The supplier invoice total differs from the approved purchase order.,Resolved,High,2026-01-19,E032,E046,2026-01-21T11:30:00Z,
C020,Shared drive permission required - 20,The project team needs read and write access to the shared folder.,Closed,Medium,2026-01-20,E033,E047,2026-01-22T12:30:00Z,2026-01-24T12:30:00Z
C021,VPN access is unavailable - 21,The employee cannot connect to the corporate VPN from the office network.,Open,Low,2026-01-21,E034,E048,,
C022,Payroll deduction needs correction - 22,The monthly payslip shows an incorrect deduction and needs review.,In Progress,High,2026-01-22,E035,E049,,
C023,Laptop battery is failing - 23,The assigned laptop battery drains within one hour of normal use.,Resolved,Medium,2026-01-23,E036,E050,2026-01-25T15:30:00Z,
C024,Customer portal shows an error - 24,Customers receive an error after submitting the service request form.,Closed,Low,2026-01-24,E037,E051,2026-01-26T16:30:00Z,2026-01-28T16:30:00Z
C025,Office air conditioning issue - 25,The meeting room temperature is unusually high during working hours.,Open,High,2026-01-25,E038,E052,,
C026,Purchase order approval is delayed - 26,A pending purchase order has not moved to the next approval stage.,In Progress,Medium,2026-01-26,E039,E053,,
C027,Email delivery is delayed - 27,Outbound messages to external recipients are arriving several hours late.,Resolved,Low,2026-01-27,E040,E054,2026-02-01T11:30:00Z,
C028,Access badge is not working - 28,The building access card is rejected at the main entrance.,Closed,High,2026-01-28,E041,E055,2026-02-02T12:30:00Z,2026-02-04T12:30:00Z
C029,Invoice details do not match - 29,The supplier invoice total differs from the approved purchase order.,Open,Medium,2026-02-01,E042,E056,,
C030,Shared drive permission required - 30,The project team needs read and write access to the shared folder.,In Progress,Low,2026-02-02,E043,E057,,
