ID,status,date,complaint_ID,updatedby_ID
CS001,Open,2026-01-01T09:30:00Z,C001,E028
CS002,In Progress,2026-01-02T10:30:00Z,C002,E029
CS003,Resolved,2026-01-03T11:30:00Z,C003,E030
CS004,Closed,2026-01-04T12:30:00Z,C004,E031
CS005,Open,2026-01-05T13:30:00Z,C005,E032
CS006,In Progress,2026-01-06T14:30:00Z,C006,E033
CS007,Resolved,2026-01-07T15:30:00Z,C007,E034
CS008,Closed,2026-01-08T16:30:00Z,C008,E035
CS009,Open,2026-01-09T09:30:00Z,C009,E036
CS010,In Progress,2026-01-10T10:30:00Z,C010,E037
CS011,Resolved,2026-01-11T11:30:00Z,C011,E038
CS012,Closed,2026-01-12T12:30:00Z,C012,E039
CS013,Open,2026-01-13T13:30:00Z,C013,E040
CS014,In Progress,2026-01-14T14:30:00Z,C014,E041
CS015,Resolved,2026-01-15T15:30:00Z,C015,E042
CS016,Closed,2026-01-16T16:30:00Z,C016,E043
CS017,Open,2026-01-17T09:30:00Z,C017,E044
CS018,In Progress,2026-01-18T10:30:00Z,C018,E045
CS019,Resolved,2026-01-19T11:30:00Z,C019,E046
CS020,Closed,2026-01-20T12:30:00Z,C020,E047
CS021,Open,2026-01-21T13:30:00Z,C021,E048
CS022,In Progress,2026-01-22T14:30:00Z,C022,E049
CS023,Resolved,2026-01-23T15:30:00Z,C023,E050
CS024,Closed,2026-01-24T16:30:00Z,C024,E051
CS025,Open,2026-01-25T09:30:00Z,C025,E052
CS026,In Progress,2026-01-26T10:30:00Z,C026,E053
CS027,Resolved,2026-01-27T11:30:00Z,C027,E054
CS028,Closed,2026-01-28T12:30:00Z,C028,E055
CS029,Open,2026-02-01T13:30:00Z,C029,E056
CS030,In Progress,2026-02-02T14:30:00Z,C030,E057
CS031,Resolved,2026-02-03T15:30:00Z,C031,E058
CS032,Closed,2026-02-04T16:30:00Z,C032,E059
CS033,Open,2026-02-05T09:30:00Z,C033,E060
CS034,In Progress,2026-02-06T10:30:00Z,C034,E061
CS035,Resolved,2026-02-07T11:30:00Z,C035,E062
CS036,Closed,2026-02-08T12:30:00Z,C036,E063
CS037,Open,2026-02-09T13:30:00Z,C037,E064
CS038,In Progress,2026-02-10T14:30:00Z,C038,E065
CS039,Resolved,2026-02-11T15:30:00Z,C039,E066
CS040,Closed,2026-02-12T16:30:00Z,C040,E067
CS041,Open,2026-02-13T09:30:00Z,C041,E068
CS042,In Progress,2026-02-14T10:30:00Z,C042,E069
CS043,Resolved,2026-02-15T11:30:00Z,C043,E070
CS044,Closed,2026-02-16T12:30:00Z,C044,E071
CS045,Open,2026-02-17T13:30:00Z,C045,E072
CS046,In Progress,2026-02-18T14:30:00Z,C046,E073
CS047,Resolved,2026-02-19T15:30:00Z,C047,E074
CS048,Closed,2026-02-20T16:30:00Z,C048,E075
CS049,Open,2026-02-21T09:30:00Z,C049,E076
CS050,In Progress,2026-02-22T10:30:00Z,C050,E077
CS051,Resolved,2026-02-23T11:30:00Z,C051,E078
CS052,Closed,2026-02-24T12:30:00Z,C052,E079
CS053,Open,2026-02-25T13:30:00Z,C053,E080
CS054,In Progress,2026-02-26T14:30:00Z,C054,E081
CS055,Resolved,2026-02-27T15:30:00Z,C055,E082
CS056,Closed,2026-02-28T16:30:00Z,C056,E083
CS057,Open,2026-03-01T09:30:00Z,C057,E084
CS058,In Progress,2026-03-02T10:30:00Z,C058,E085
CS059,Resolved,2026-03-03T11:30:00Z,C059,E086
CS060,Closed,2026-03-04T12:30:00Z,C060,E087
CS061,Open,2026-03-05T13:30:00Z,C061,E088
CS062,In Progress,2026-03-06T14:30:00Z,C062,E089
CS063,Resolved,2026-03-07T15:30:00Z,C063,E090
CS064,Closed,2026-03-08T16:30:00Z,C064,E091
CS065,Open,2026-03-09T09:30:00Z,C065,E092
CS066,In Progress,2026-03-10T10:30:00Z,C066,E093
CS067,Resolved,2026-03-11T11:30:00Z,C067,E094
CS068,Closed,2026-03-12T12:30:00Z,C068,E095
CS069,Open,2026-03-13T13:30:00Z,C069,E096
CS070,In Progress,2026-03-14T14:30:00Z,C070,E097
CS071,Resolved,2026-03-15T15:30:00Z,C071,E098
CS072,Closed,2026-03-16T16:30:00Z,C072,E099
CS073,Open,2026-03-17T09:30:00Z,C073,E100
CS074,In Progress,2026-03-18T10:30:00Z,C074,E001
CS075,Resolved,2026-03-19T11:30:00Z,C075,E002
CS076,Closed,2026-03-20T12:30:00Z,C076,E003
CS077,Open,2026-03-21T13:30:00Z,C077,E004
CS078,In Progress,2026-03-22T14:30:00Z,C078,E005
CS079,Resolved,2026-03-23T15:30:00Z,C079,E006
CS080,Closed,2026-03-24T16:30:00Z,C080,E007
CS081,Open,2026-03-25T09:30:00Z,C081,E008
CS082,In Progress,2026-03-26T10:30:00Z,C082,E009
CS083,Resolved,2026-03-27T11:30:00Z,C083,E010
CS084,Closed,2026-03-28T12:30:00Z,C084,E011
CS085,Open,2026-04-01T13:30:00Z,C085,E012
CS086,In Progress,2026-04-02T14:30:00Z,C086,E013
CS087,Resolved,2026-04-03T15:30:00Z,C087,E014
